,precision,recall,f1-score,support
Beli ulang,0.9183673469387755,1.0,0.9574468085106383,45.0
Risiko churn,1.0,0.6923076923076923,0.8181818181818182,13.0
accuracy,0.9310344827586207,0.9310344827586207,0.9310344827586207,0.9310344827586207
macro avg,0.9591836734693877,0.8461538461538461,0.8878143133462283,58.0
weighted avg,0.9366643209007741,0.9310344827586207,0.9262322417127994,58.0
