model,accuracy,precision,recall,f1_score,roc_auc
Random Forest,0.9310344827586207,1.0,0.6923076923076923,0.8181818181818182,0.9555555555555555
KNN,0.896551724137931,1.0,0.5384615384615384,0.7,0.9358974358974358
Decision Tree,0.7413793103448276,0.45,0.6923076923076923,0.5454545454545454,0.752991452991453
Logistic Regression,0.7758620689655172,0.5,0.5384615384615384,0.5185185185185185,0.811965811965812
