feature,importance,feature_clean
cat__Educational Qualifications_Graduate,0.0025370237384318654,Educational Qualifications_Graduate
cat__Meal(P1)_Snacks,0.002502096294079284,Meal(P1)_Snacks
cat__Marital Status_Married,0.002481688836674829,Marital Status_Married
cat__Unaffordable_Disagree,0.002481518436794936,Unaffordable_Disagree
cat__Delay of delivery person picking up food_Strongly agree,0.0024274630467398376,Delay of delivery person picking up food_Strongly agree
cat__Delay of delivery person getting assigned_Agree,0.0024079131097443714,Delay of delivery person getting assigned_Agree
cat__Easy Payment option_Neutral,0.002407498202038985,Easy Payment option_Neutral
cat__Residence in busy location_Agree,0.0023893041845342235,Residence in busy location_Agree
cat__High Quality of package_Very Important,0.002389164098740595,High Quality of package_Very Important
cat__Good Food quality_Strongly disagree,0.0023138546886973823,Good Food quality_Strongly disagree
cat__Health Concern_Disagree,0.002292903222568931,Health Concern_Disagree
cat__Bad past experience_Disagree,0.0022869617166234356,Bad past experience_Disagree
cat__Unavailability_Agree,0.0022312416499039116,Unavailability_Agree
cat__Health Concern_Neutral,0.002226303893980085,Health Concern_Neutral
cat__Less Delivery time_Very Important,0.0021697497037159075,Less Delivery time_Very Important
cat__Politeness_Moderately Important,0.0021619738598267187,Politeness_Moderately Important
cat__Unaffordable_Strongly agree,0.0021576742830543426,Unaffordable_Strongly agree
cat__Self Cooking_Neutral,0.002148326358091847,Self Cooking_Neutral
cat__Influence of rating_Maybe,0.002125015137047685,Influence of rating_Maybe
cat__Number of calls_Slightly Important,0.0020896479204972553,Number of calls_Slightly Important
cat__More restaurant choices_Strongly disagree,0.0020872806727004973,More restaurant choices_Strongly disagree
cat__Perference(P2)_Veg foods (Breakfast / Lunch / Dinner),0.002070520804112585,Perference(P2)_Veg foods (Breakfast / Lunch / Dinner)
cat__Good Tracking system_Agree,0.0020684980845115043,Good Tracking system_Agree
cat__Good Road Condition_Strongly Agree,0.0020577961504700064,Good Road Condition_Strongly Agree
cat__Monthly Income_More than 50000,0.0020176577180368556,Monthly Income_More than 50000
cat__Freshness_Very Important,0.001971581544426678,Freshness_Very Important
cat__Educational Qualifications_Post Graduate,0.0019100448652500112,Educational Qualifications_Post Graduate
cat__Wrong order delivered_Agree,0.0018825442734008992,Wrong order delivered_Agree
cat__Maximum wait time_30 minutes,0.0018723661389372067,Maximum wait time_30 minutes
cat__Politeness_Slightly Important,0.0018520481962505486,Politeness_Slightly Important
cat__Good Road Condition_Disagree,0.0018401811722599287,Good Road Condition_Disagree
cat__Good Quantity_Very Important,0.0017959903376131155,Good Quantity_Very Important
cat__Low quantity low time_Disagree,0.0017865358416565954,Low quantity low time_Disagree
cat__Wrong order delivered_Neutral,0.00176744661974104,Wrong order delivered_Neutral
cat__Delay of delivery person picking up food_Neutral,0.0016972990733475895,Delay of delivery person picking up food_Neutral
cat__Delay of delivery person getting assigned_Disagree,0.0016472820145238853,Delay of delivery person getting assigned_Disagree
cat__Medium (P2)_Web browser,0.0016402169351079812,Medium (P2)_Web browser
cat__Wrong order delivered_Strongly disagree,0.0016327441937986865,Wrong order delivered_Strongly disagree
